,Stacja,Rok,Miesiąc,Absolutna temperatura maksymalna [°C],Absolutna temperatura minimalna [°C],Średnia temperatura maksymalna [°C],Średnia temperatura minimalna [°C],Średnia temperatura miesięczna [°C],Miesieczna suma opadów [mm]
408,JELENIA GÓRA,1984,1,8.8,-19.6,3.3,-4.0,0.0,16.6
409,JELENIA GÓRA,1984,2,8.5,-17.0,2.6,-6.2,-1.6,16.8
410,JELENIA GÓRA,1984,3,17.6,-11.3,5.6,-4.1,0.9,21.7
411,JELENIA GÓRA,1984,4,21.6,-4.6,11.5,0.6,6.0,71.2
412,JELENIA GÓRA,1984,5,22.2,0.1,16.4,5.8,11.5,35.2
413,JELENIA GÓRA,1984,6,25.0,0.4,18.0,8.0,13.1,76.9
414,JELENIA GÓRA,1984,7,34.2,2.1,19.3,8.3,14.3,56.2
415,JELENIA GÓRA,1984,8,30.0,2.1,22.2,8.9,15.6,95.0
416,JELENIA GÓRA,1984,9,27.2,1.7,16.0,7.0,11.4,108.7
417,JELENIA GÓRA,1984,10,20.9,-5.4,15.4,4.8,10.2,19.5
418,JELENIA GÓRA,1984,11,15.6,-7.4,8.6,-1.1,3.4,25.3
419,JELENIA GÓRA,1984,12,10.5,-13.5,2.5,-5.9,-1.7,17.8
420,JELENIA GÓRA,1985,1,8.0,-31.8,-2.7,-12.5,-7.2,27.3
421,JELENIA GÓRA,1985,2,7.6,-26.2,-1.5,-10.1,-5.7,58.4
422,JELENIA GÓRA,1985,3,14.7,-9.9,6.3,-1.5,2.3,35.1
423,JELENIA GÓRA,1985,4,23.5,-5.0,12.3,1.3,6.9,56.4
424,JELENIA GÓRA,1985,5,27.2,0.1,18.7,7.2,13.3,72.0
425,JELENIA GÓRA,1985,6,27.5,0.9,17.5,7.5,12.6,102.4
426,JELENIA GÓRA,1985,7,30.1,4.3,22.4,9.5,16.2,50.1
427,JELENIA GÓRA,1985,8,30.7,5.1,22.2,9.6,16.0,115.9
428,JELENIA GÓRA,1985,9,26.8,-0.4,17.8,6.4,12.1,16.2
429,JELENIA GÓRA,1985,10,27.7,-8.0,13.7,2.3,7.5,29.0
430,JELENIA GÓRA,1985,11,15.0,-14.8,3.7,-4.5,-0.2,38.0
431,JELENIA GÓRA,1985,12,15.8,-14.6,6.3,-0.5,2.7,43.3
468,ŚNIEŻKA,1984,1,5.3,-13.6,-5.0,-9.7,-7.5,91.0
469,ŚNIEŻKA,1984,2,-1.6,-16.0,-6.8,-10.5,-8.7,91.5
470,ŚNIEŻKA,1984,3,4.2,-16.9,-4.4,-8.9,-7.0,66.4
471,ŚNIEŻKA,1984,4,8.1,-11.2,0.4,-3.9,-1.9,91.1
472,ŚNIEŻKA,1984,5,10.7,-6.6,5.6,1.2,3.1,88.1
